,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
16529, Not Disclosed by Recruiter ,0 - 3 yrs, mortgage| data| form| documents| document| processing| make,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
16530, Not Disclosed by Recruiter ,12 - 15 yrs, Flex| Sales support| direct| Sales Head| Insurance| Salesforce| Field sales| Sales operations| Senior management| Executive search,Senior Management,"Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales
16532, Not Disclosed by Recruiter ,8 - 13 yrs, Procurement| Custom clearance| Solar energy| System integration| Techno-commercial| Business Executive| Material inspection| Monitoring| Logistics,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Purchase Executive
16533, Not Disclosed by Recruiter ,15 - 18 yrs, ERP| Escalation management| Project management| Focus| Cloud| Presales| Management| Project delivery| CSAT,Project Management,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Project Manager-IT/Software
16534,"3,00,000 - 5,00,000 PA.",2 - 3 yrs, system analysis| erp consultant| erp| erp system| techno functional| data migration,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",ERP Consultant
16535, Not Disclosed by Recruiter ,0 - 3 yrs, Printing| Lead generation| Bfsi| SMS| Data collection| Business Development Executive| Management| Client acquisition| Secondary research| CRM,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Textiles, Garments, Accessories",Direct Marketing Executive
16536, Not Disclosed by Recruiter ,5 - 10 yrs, Machine Learning| Cloud| SAP HANA| Artificial Intelligence| IoT| SAP Fiori| SAP Implementation| ABAP| Java| HCI,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant
16537, Not Disclosed by Recruiter ,8 - 10 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
16538, Not Disclosed by Recruiter,1 - 5 Years,Web services|Agile|Testing tools|Enterprise applications|Business process|Outsourcing|DSL|Operations|spring boot|continuous integration|Java Standard Edition,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
16539, Not Disclosed by Recruiter ,0 - 3 yrs, Installation| Configuring| System Administration| Hardware,IT Hardware,"IT Hardware , Technical Support , Telecom Engineering","Pharma, Biotech, Clinical Research",System Administrator
16541, Not Disclosed by Recruiter,4 - 7 Years,sap ewm|SAP ECC|Outbound|Manager Quality Assurance|RF|Packaging|SAP SCM|Outsourcing|Warehouse management|Operations,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM",IT-Software / Software Services,Functional Outside Consultant
16542, Not Disclosed by Recruiter ,4 - 7 yrs, Business process| Service delivery| Service level| Quality standards| Customer service| Outsourcing| Business solutions| Supervision,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
16543, Not Disclosed by Recruiter ,2 - 5 yrs, Marketing| Sales| Brand Management| Client Relationships| Client Services| Campaign Management| Marketing Communications| Key Account Management,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Accounting, Finance",Product/Brand Manager
16544,"10,00,000 - 20,00,000 PA.",8 - 13 yrs,Networking| QOS| Routing| L3VPN| Bgp| CCNP| Switching| MPLS| Cisco Nexus| OSPF,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
16545, Not Disclosed by Recruiter ,5 - 8 yrs, Service engineering| Petrochemical| Chemical| HRD| Recruitment,Safety/Health/Environment,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Environment Engineer/Officer
16546, Not Disclosed by Recruiter ,2 - 5 yrs, MySQL| Javascript| PHP| development| solid| technical| software| Web development| testing| mobile| Workflow| HTTP| Unit testing| tools| jQuery| Data modeling| web| design| developer| backend| agile| programming| Ajax| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16547, Not Disclosed by Recruiter ,7 - 10 yrs, Customer acquisition| Consulting| Relationship| Banking| Business strategy| banking products| Monitoring,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
16548, Not Disclosed by Recruiter ,3 - 8 yrs, General Medicine,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Clinical Research Associate/Scientist
16549,"2,00,000 - 3,00,000 PA.",2 - 7 yrs, digital marketing| Office Assistance| Front Office| branding| real estate| customer service| convincing power| Inside Sales| problem solving,Sales Support,"Sales , Retail , Business Development","Real Estate, Property",Sales Coordinator
16550,"5,00,000 - 7,00,000 PA.",5 - 10 yrs, real estate| SEO| Content marketing| Video production| vendor management| Marketing campaign| ATL| BTL,Senior Management,"Marketing , Advertising , MR , PR , Media Planning","Real Estate, Property",Head/VP/GM/ Mgr-Online/Digital Marketing
16551, Not Disclosed by Recruiter ,3 - 8 yrs,networking| ip| ccna| tcl| firewall| l2| wan| snmp| test cases,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
16552, Not Disclosed by Recruiter ,8 - 12 yrs,Java| J2EE| Algorithm| Data Structure| Python| Javascript| Multithreading,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16553, Not Disclosed by Recruiter ,3 - 5 yrs, Biotechnology| Chemical| ISO| Pumps| Pharma| Packaging| Software product development| hr outsourcing| Continuous improvement| GEL,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Technical Lead/Project Lead
16554, Not Disclosed by Recruiter ,0 - 5 yrs, Technical Support| TECHNICAL SALES| WNS| EXL| HCL| AEGIS,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
16555,"3,75,000 - 8,75,000 PA.",5 - 10 yrs, poultry| vet| veterinary| cattle| abm| rsm| feed| animal health| virbac,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer
16556,"INR 5,00,000 - 11,00,000 PA.",4 - 9 Years,Team Management|sap mdm governance|sap master data governance|sap master data management governance|master data governance|mdm governance|Master Data Quality|Master Data|Data Governance|master data management governance,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Quality Assurance/Quality Control Manager
16557, Not Disclosed by Recruiter ,3 - 8 yrs,tekla| bim| civil engineering| Structural Engineering| Detailing| 3D| 3D Modeling| Concrete| RCC| MS Office| Rebar,Engineering Design,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Design Engineer
16558,Not Disclosed by Recruiter,2 - 5 Years,Customer Service|Help Desk|Information|Telephony support|customer relationship|access controls|Vendor Management|Asset Management,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit",Accounting / Finance,Audit Manager
16559, Not Disclosed by Recruiter ,5 - 8 yrs, Unix| Application development| Scrum| development| btech| technical| Technology Lead| mca| Transaction processing| tools| Engineering services| application| Design development| Agile methodology| agile| msc| support| Testing| architecture,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16560, Not Disclosed by Recruiter ,6 - 11 yrs, Scalability| Data Structures| Cassandra| Software Development| NoSQL| Algorithms| Docker| Javascript| MongoDB| DBMS| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16561,"35,00,000 - 40,00,000 PA.",14 - 20 yrs, Debt Collection| GM| DGM,Senior Management,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head / VP/ GM/ National Manager After Sales
16562,"1,00,000 - 3,00,000 PA.",0 - 5 yrs, Event Marketing| Sales Training| International Business Development| Africa| Events| Middle East| Business Generation| Event Management| Senior Management| Career Development,Institutional Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales Executive/Officer
16563, Not Disclosed by Recruiter ,4 - 7 yrs, SOA| Finance| Customer service| Legal documentation| Auditing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
16564, Not Disclosed by Recruiter ,1 - 5 yrs, Therapist,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
16565, Not Disclosed by Recruiter ,1 - 6 yrs, SAT| GMAT| IELTS| verbal| GRE,Language Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",English Teacher
16566, Not Disclosed by Recruiter ,8 - 12 yrs, SAN| Data analysis| Change management| Trade finance| Data processing| Data quality| Asset management| Financial services| SQL,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst
16567, Not Disclosed by Recruiter ,2 - 4 yrs, SQL| PHP| XML| Ajax| Apache| microsoft| Web development| IIS| Visual Studio| Tools,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16568, Not Disclosed by Recruiter ,5 - 7 yrs, data warehouse| css| svg| bi| data warehousing| sharepoint| sap bo| business intelligence| javascript| jdk| data ware housing| dwh| web technologies| html| QlikView| etl| vs,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16569, Not Disclosed by Recruiter ,2 - 5 yrs, Accounting| Accounts Handling| Inbound| Inbound Operations,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Travel Agent
16570, Not Disclosed by Recruiter ,3 - 6 yrs, Pharma| Machinery| CAD CAM| QC,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Quality Assurance/Quality Control Executive
16571, Not Disclosed by Recruiter ,1 - 3 yrs, BPO| Outbound| Senior Technical Support Associate| Customer Care Executive| Associate ExecutiveSupervisorCce,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
16572, Not Disclosed by Recruiter ,2 - 5 yrs, Biotechnology| healthcare consulting| Pharma| Pharmacy| Consulting| Data collection| Biochemistry| Doctor| Counselling| CRM,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Medical Representative
16573,Openings: 1,0 - 3 Years,Pediatrics|Pedia|paediatrician|Specialist Paediatrician,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology",Medical / Healthcare / Hospitals,Pediatrician
16574, Not Disclosed by Recruiter ,2 - 4 yrs, technical writing| end user| notes| documentation| technical writer| mca,QA/Testing/Documentation,IT Software - Other,"IT-Software, Software Services",Technical Writer
16575,"5,00,000 - 7,00,000 PA.",4 - 9 yrs,Design| Visualiser| architectural design| Architecture| 3d designer| 3d artist| furniture design| 3DSmax,Interior Design,"Architecture , Interior Design","Architecture, Interior Design",Interior Designer
16576, Not Disclosed by Recruiter ,1 - 3 yrs,L1| Technical Support| Unit Testing| Software Development| Issue Resolution| ORACLE SQL| PL SQL| JAVA| Java script| HTML,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16578,"14,00,000 - 24,00,000 PA.",4 - 9 yrs, Java| Data Structures| Javascript| MongoDB| Spring,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16579, Not Disclosed by Recruiter ,1 - 2 yrs,Statutory Audit| Indian Gaap| Account Services| Accounting| Chartered Accountant| Big4| IFRS| Articleship| Auditing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Strategy, Management Consulting Firms",Chartered Accountant
16580,"1,75,000 - 3,75,000 PA.",0 - 5 yrs, bpo| csr| chat process| International Call Center| freshers| kpo| Semi voice| Inbound| Voice process| Outbound| tsr| cse| Domestic BPO| email support| Semi voice process| Ites| undergraduates| Non voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
16581, Not Disclosed by Recruiter ,0 - 3 yrs, Insurance sales| Finance| Relationship| Consultancy| Management| Research| banking products,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
16582, Not Disclosed by Recruiter ,2 - 5 yrs, Spanish| Ticketing| Medical insurance| Ab Initio| Teaching| Manager Technology| Testing,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Teacher/ Private Tutor
16584, Not Disclosed by Recruiter ,10 - 15 yrs, Construction| Civil| Project costing,Site Engineering,"Site Engineering , Project Management","NGO, Social Services, Regulators, Industry Associations",Civil Engineer-Highway/Roadway
16585, Not Disclosed by Recruiter ,3 - 5 yrs, Javascript| Linux| Networking| VMware| Troubleshooting| Firewall| DNS| VOIP| Configuration management| cisco,Admin/Maintenance/Security/Datawarehousing,IT Software - System Programming,"IT-Software, Software Services",System Administrator
16586, Not Disclosed by Recruiter ,5 - 10 yrs, Regulatory Affairs| Formulation| Artworks| Injectables| US,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Regulatory Affairs Manager
16587, Not Disclosed by Recruiter ,0 - 3 yrs,asp dot net| html5| asp.net| ms sql server| .net| asp . net| SQL Server| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16589, Not Disclosed by Recruiter ,2 - 5 yrs, SEO| Social media| SEM| Analytics| Social media analytics,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
16590, Not Disclosed by Recruiter ,3 - 8 yrs, marketing executive| distributors| customer profiling| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
16591, Not Disclosed by Recruiter ,3 - 5 yrs, Staffing| Back office| Financial services| Relationship management| Medical insurance| Investment management| Finance| Recruitment Analyst| Manager Technology,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
16592, Not Disclosed by Recruiter ,2 - 7 yrs, objective c| algorithms| information technology| user interface| layout| email| typography| copyright| solutions| developer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16593, Not Disclosed by Recruiter ,10 - 15 yrs, Team management| EMEA| Telesales| SMS| Sales process| Inside sales| Financial services| Analytics| Performance improvement| CRM,Retail Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
16594, Not Disclosed by Recruiter ,5 - 8 yrs, process| Construction| Front end| Corrective action| Staffing| Analytical| Engineering project management| Management| Mechanical engineering| Project execution,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Technical Lead/Project Lead
16595, Not Disclosed by Recruiter ,2 - 5 yrs, project management| project planning,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Telecalling/Telemarketing Executive
16596, Not Disclosed by Recruiter,2 - 7 Years,Bim|REVIT|MEP,Engineering Design,"Engineering Design , R&D",Oil and Gas / Energy / Power / Infrastructure,Design Engineer
16597, Not Disclosed by Recruiter ,2 - 4 yrs, MIS| Healthcare| Monitoring| Budgeting| Due diligence| Sociology| MS Office| Powerpoint| Financial reporting| Project execution,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","NGO, Social Services, Regulators, Industry Associations",Associate/Senior Associate -(Technical)
16598, Not Disclosed by Recruiter ,5 - 8 yrs, HVAC| Project management| MEP| Risk assessment| Relationship building| Mechanical| Performance testing| Strategic planning| Monitoring| mep design,Site Engineering,"Site Engineering , Project Management","Architecture, Interior Design",Construction-General Building
16599, Not Disclosed by Recruiter ,10 - 15 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16600,Openings: 2,8 - 13 Years,Business Forecasting|Financial Analysis|Portfolio Management|Finance|Data Management|Portfolio Analysis|bulk drugs|Portfolio Planning|Marketing|Program Management|pmp|Excel|Relationship Management|Active Pharmaceutical Ingredient|api,Analytics & BI,Analytics & Business Intelligence,Pharma / Biotech / Clinical Research,Business Analyst
16601,"14,00,000 - 24,00,000 PA.",10 - 15 yrs, Business Development Management| Infrastructure Advisory| Bidding| bid management,Retail Sales,"Sales , Retail , Business Development","Oil and Gas, Energy, Power, Infrastructure",Sales/Business Development Manager
16602, Not Disclosed by Recruiter ,3 - 8 yrs, Project Management| Client Relationships| Strategy Consulting| Account Management| Consulting Sales,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Telcom, ISP",Corporate Planning/Strategy Manager
16603, Not Disclosed by Recruiter ,3 - 5 yrs, Project management| Project planning| System analysis| Analytical| ASP.Net| VB.NET| Documentation tools| Networking| C| development testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
16604,Openings: 100,0 - 2 Years,international bpo|International Call Center|customer support executive|customer care executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Telecalling/Telemarketing Executive
16606, Not Disclosed by Recruiter ,3 - 8 yrs, development managers| bd| soft skills| aspects| institutional sales| stress management| region| personality development,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
16607, Not Disclosed by Recruiter ,4 - 8 yrs, digital marketing expert| SEM| Information technology,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
16608,Openings: 1,1 - 2 Years,technical helpdesk|Outlook Configuration|helpdesk executive|Desktop Support|IT Service Desk|call coordinator,Technical Support,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician
16609,"9,00,000 - 12,00,000 PA.",6 - 9 yrs, BPO| Insurance| loans| Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Insurance,Team Leader -(Technical)
16611, Not Disclosed by Recruiter ,3 - 8 yrs, synthesis| axi| soc| rtl design| design| power management| integration| ahb| quality checks| quality,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
16612, Not Disclosed by Recruiter ,2 - 5 yrs, Linux| Networking| Windows| MySQL| SNMP| Virtualization| Networking protocols| Operating systems| Monitoring tools| SQL queries,Programming & Design,IT Software - Other,"IT-Software, Software Services",Software Developer
16613, Not Disclosed by Recruiter ,2 - 5 yrs, Marketing| Digital Marketing| Marketing Communications| Marketing Automation| Campaign Management| Email Marketing,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Display Marketing Manager
16614,"5,00,000 - 7,00,000 PA.",2 - 4 yrs, Finance| Financial Reporting,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Chartered Accountant
16615, Not Disclosed by Recruiter ,3 - 6 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor| Assistant professor- Pharmacy,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
16616,"7,00,000 - 17,00,000 PA.",4 - 9 yrs,Civil 3D,Engineering Design,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Design Engineer
16617,"INR 2,00,000 - 3,25,000 PA.",1 - 5 Years,Sales|Casa|Banking|Marketing,Retail Sales,"Sales , Retail , Business Development",Banking / Financial Services / Broking,Sales Executive/Officer
16618, Not Disclosed by Recruiter ,2 - 5 yrs, development| python| c| technical| mobile| iphone| cocoa| application development| objective c| scripting| application| web| xml| design| http| json| perl| sdk| architecture| applications,Programming & Design,IT Software - Mobile,"IT-Software, Software Services",Software Developer
16619, Not Disclosed by Recruiter ,3 - 6 yrs, CMS| Windows| SQL| Web application development| development| css| technical| software| developing| HTML| Project development| jQuery| ui| application| web| Javascript| Agile| ASP.Net| angularjs| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16620, Not Disclosed by Recruiter ,8 - 12 yrs,Software Development Life Cycle| Rest| Advanced Java| Oracle SQL| SOA| Struts| J2Ee| HTML| Spring| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","Office Equipment, Automation",Software Developer
16622,"2,00,000 - 2,75,000 PA.",1 - 3 yrs, Income Tax Return| Taxation| Gst| ROC Filing| ROC Compliance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Financial Accountant
16624, Not Disclosed by Recruiter ,8 - 12 yrs, Computer science| C++| Multithreading| Dicom| Siemens| Programming| Healthcare| HTML| MFC| Research,Programming & Design,IT Software - System Programming,"Electricals, Switchgears",Software Developer
16625,"INR 1,75,000 - 2,50,000 PA.",1 - 3 Years,Attendance|Service Engineering|Induction Training|Customer Satisfaction|Field Service|Technician Activities|Recruitment,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Consumer Electronics / Appliances / Durables,Team Leader -(Technical)
16626, Not Disclosed by Recruiter ,1 - 2 yrs, java| javascript| mca| application development| computer science| entry level| object oriented programming| c| m sc| knowledge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16627,"2,00,000 - 3,75,000 PA.",1 - 6 yrs, General Insurance| Life Insurance| Insurance Broking| Motor Insurance| Health Insurance,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
16628,"2,00,000 - 3,50,000 PA.",5 - 10 yrs, HR Generalist Activities,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Printing, Packaging",HR Executive
16629,"3,50,000 - 7,00,000 PA.",2 - 7 yrs,outbound sales| outbound calling| cold calling| international sales| inside sales| international process| business development| international bpo| 3rd party collection| b2c sales,Sales Support,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",Telesales/Telemarketing Executive/Officer
16630, Not Disclosed by Recruiter ,2 - 6 yrs, Financial reporting| KPI| Process efficiency| Finance| Financial planning| SBU| Financial Analyst| Budgeting| Forecasting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst
16631, Not Disclosed by Recruiter ,4 - 7 yrs, Data Science| Java| C| Algorithms| Data Structures| Machine Learning| AWS| Supply Chain| Python| SQL,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst
16632, Not Disclosed by Recruiter ,2 - 5 yrs, Troubleshooting| Monitoring| SCCM| XML| operational support| Team operations| Infrastructure| Architecture| SCOM| Architect,Programming & Design,"IT Software - Application Programming , Maintenance","Automobile, Auto Anciliary, Auto Components",Project Lead
16633,"2,50,000 PA.",0 - 2 yrs, US Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
16634,"8,00,000 - 10,00,000 PA.",3 - 8 yrs, Life Cycle| MS Dynamics CRM| Problem Solving| MS SQL Server| Microsoft Dynamics| Business Process Analysis| Quality Assurance,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
16635, Hike on current salary.best in industry ,3 - 6 yrs, UX| User Interface Designing| Interaction Design| Web Designing| ui designing| Wireframing| user interface designer| Illustrator| UI Designer| UX Designer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
16636, Not Disclosed by Recruiter ,3 - 5 yrs, XML| Project management| Technical support| PLSQL| Workflow| Debugging| System administration| Service| Payroll| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Training Manager
16637, Not Disclosed by Recruiter ,3 - 5 yrs,J2Ee| PHP| XML| Ajax| Open source| Data modeling| Content management| Product support| JIRA| Computer science,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16639,"1,50,000 - 2,25,000 PA.",3 - 5 yrs, Receipt| Expenses| Management Accounting| MIS| Banking| Payables| Operations Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Accounts Executive/Accountant
16641, Not Disclosed by Recruiter ,4 - 9 yrs, Sales coordination| Management| MS Office Word| Trade| Excel| Sales Coordinator| Executive| Powerpoint,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Agriculture, Dairy",Associate/Senior Associate -(NonTechnical)
16642, Not Disclosed by Recruiter ,0 - 5 yrs, sql| data analysis| business analysis| excel| problem solving| python| analytics| statistics,Analytics & BI,Analytics & Business Intelligence,"Strategy, Management Consulting Firms",Business Analyst
16643, Not Disclosed by Recruiter ,4 - 5 yrs, PHP| Microsoft technologies| ASP.Net| VB.NET| Time| Schedule| Business Executive| Transition| Usage| Evaluation,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
16644, Not Disclosed by Recruiter ,3 - 8 yrs, Soft Skills| Effective Communication Skills| Personality Development| Team Building| English Literature| Grammar| English Language| Interpersonal Skills,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Soft Skill Trainer
16645, Not Disclosed by Recruiter ,0 - 2 yrs,psd| layout| dreamweaver| website| interfaces| photoshop| javascript| jquery| css3,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer
16646, Not Disclosed by Recruiter ,3 - 5 yrs, Pharma| Business planning| Recruitment| Logistics| HR strategy,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Pharma, Biotech, Clinical Research",HR Manager
16647,"3,00,000 - 4,50,000 PA.",1 - 4 yrs,US IT Recruitment| Dice| W2| Screening| Sourcing| Linkedin| VMS| Client Handling| Personal Skills| Analytical Skills,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
16648, Not Disclosed by Recruiter ,1 - 6 yrs, CATIA| Sales Engineer| CAD| Sales development| Sheet metal design| Tools| Machinery| Mechanical engineering| Business Executive| Product marketing,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales Executive/Officer
16649, Not Disclosed by Recruiter ,0 - 0 yrs, civil engineering| Fresher| Civil| civil engineer| civil engg,Other,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Trainee
16650,"10,00,000 - 12,00,000 PA.",8 - 10 yrs, Team Management| QC Tools| Compliance| Analytical Skills| Quality Management| Six Sigma Projects| Process Improvement Initiatives| Lean Six Sigma| Follow Ups| Communication Skills| Green Belt| Call Center| Standard Operating Procedures,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager
16651, Not Disclosed by Recruiter ,6 - 11 yrs, Spring| Web Servers| Database| GIT| Maven| Sonar| Jenkins| React.JS| Ember.JS| RDBMS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
16652, Not Disclosed by Recruiter ,2 - 4 yrs, collections| sales planning| market analysis| marketing sales| product| market expansion| handling| targets| group,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales/Business Development Manager
16653, Not Disclosed by Recruiter ,3 - 6 yrs, VB.NET| c#| asp.net| OOP| Web Development| API| Javascript| jQuery| Agile| Entity Framework,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16654, Not Disclosed by Recruiter ,5 - 10 yrs, JAX - WS| Hibernate| Rest| ESB| UI Development| Javascript| Spring Boot| Java SE| Web Services| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
16655, Not Disclosed by Recruiter ,10 - 15 yrs, service engineering| follow ups| ms office| Site Manager,Site Engineering,"Site Engineering , Project Management","Industrial Products, Heavy Machinery",Electrical Engineer-Industrial
